query_id,chunk_id,avaliador,relevancia,adjudicada
Q01,chap01-c0039,Helena,1,1
Q01,chap01-c0041,Helena,1,1
Q01,chap01-c0043,Helena,1,1
Q01,chap05-c0423,Helena,1,1
Q01,chap05-c0425,Helena,1,1
Q01,chap05-c0516,Helena,1,1
Q02,chap01-c0052,Helena,1,1
Q02,chap01-c0054,Helena,1,1
Q02,chap02-c0225,Helena,1,1
Q03,chap02-c0139,Helena,1,1
Q03,chap02-c0141,Helena,1,1
Q03,chap02-c0145,Helena,1,1
Q04,chap02-c0157,Helena,1,1
Q04,chap02-c0159,Helena,1,1
Q04,chap02-c0161,Helena,1,1
Q04,chap02-c0163,Helena,1,1
Q04,chap02-c0166,Helena,1,1
Q05,chap03-c0244,Helena,1,1
Q05,chap03-c0246,Helena,1,1
Q05,chap03-c0248,Helena,1,1
Q05,chap03-c0260,Helena,1,1
Q06,chap03-c0251,Helena,1,1
Q06,chap03-c0253,Helena,1,1
Q06,chap03-c0255,Helena,1,1
Q06,chap03-c0259,Helena,1,1
Q07,chap04-c0341,Helena,1,1
Q07,chap04-c0345,Helena,1,1
Q07,chap04-c0349,Helena,1,1
Q07,chap04-c0376,Helena,1,1
Q08,chap05-c0461,Helena,1,1
Q08,chap05-c0463,Helena,1,1
Q08,chap05-c0466,Helena,1,1
Q08,chap05-c0468,Helena,1,1
Q08,chap05-c0469,Helena,1,1
Q08,chap05-c0471,Helena,1,1
Q09,chap05-c0480,Helena,1,1
Q09,chap05-c0482,Helena,1,1
Q09,chap05-c0484,Helena,1,1
Q09,chap05-c0485,Helena,1,1
Q09,chap05-c0487,Helena,1,1
Q09,chap05-c0517,Helena,1,1
Q10,chap06-c0566,Helena,1,1
Q10,chap06-c0574,Helena,1,1
Q10,chap06-c0576,Helena,1,1
Q10,chap06-c0578,Helena,1,1
Q10,chap06-c0580,Helena,1,1
Q10,chap06-c0597,Helena,1,1
Q11,chap07-c0732,Helena,1,1
Q11,chap07-c0734,Helena,1,1
Q11,chap07-c0740,Helena,1,1
Q11,chap08-c0865,Helena,1,1
Q12,chap07-c0748,Helena,1,1
Q12,chap07-c0750,Helena,1,1
Q12,chap07-c0752,Helena,1,1
Q12,chap07-c0754,Helena,1,1
Q12,chap07-c0756,Helena,1,1
Q13,chap07-c0766,Helena,1,1
Q13,chap07-c0769,Helena,1,1
Q13,chap07-c0771,Helena,1,1
Q13,chap07-c0773,Helena,1,1
Q13,chap07-c0776,Helena,1,1
Q13,chap07-c0778,Helena,1,1
Q13,chap07-c0780,Helena,1,1
Q13,chap10-c1267,Helena,1,1
Q14,chap08-c0879,Helena,1,1
Q14,chap08-c0881,Helena,1,1
Q14,chap08-c0883,Helena,1,1
Q14,chap08-c0885,Helena,1,1
Q15,chap08-c0899,Helena,1,1
Q15,chap08-c0901,Helena,1,1
Q15,chap08-c0903,Helena,1,1
Q16,chap09-c1081,Helena,1,1
Q16,chap09-c1083,Helena,1,1
Q17,chap09-c1126,Helena,1,1
Q17,chap09-c1132,Helena,1,1
Q17,chap09-c1137,Helena,1,1
Q17,chap09-c1139,Helena,1,1
Q17,chap09-c1148,Helena,1,1
Q17,chap09-c1151,Helena,1,1
Q18,chap10-c1208,Helena,1,1
Q18,chap10-c1212,Helena,1,1
Q18,chap10-c1216,Helena,1,1
Q18,chap10-c1220,Helena,1,1
Q18,chap10-c1226,Helena,1,1
Q19,chap10-c1243,Helena,1,1
Q19,chap10-c1251,Helena,1,1
Q19,chap10-c1256,Helena,1,1
Q19,chap10-c1258,Helena,1,1
Q19,chap10-c1260,Helena,1,1
Q19,chap10-c1261,Helena,1,1
Q20,chap11-c1396,Helena,1,1
Q20,chap11-c1406,Helena,1,1
Q20,chap11-c1408,Helena,1,1
Q20,chap11-c1410,Helena,1,1
Q21,chap13-c1749,Helena,1,1
Q21,chap13-c1752,Helena,1,1
Q22,chap13-c1827,Helena,1,1
Q22,chap13-c1835,Helena,1,1
Q22,chap13-c1837,Helena,1,1
