config,k,categoria,consultas,na_secao@k,P@k,R@k,nDCG@k,MRR
C1,5,todas,30,0.087,0.087,0.093,0.112,0.227
C1,5,facil,10,0.08,0.12,0.112,0.119,0.187
C1,5,media,10,0.08,0.04,0.042,0.054,0.125
C1,5,dificil,10,0.1,0.1,0.124,0.164,0.37
C1,10,todas,30,0.073,0.077,0.158,0.141,0.248
C1,10,facil,10,0.06,0.09,0.17,0.14,0.21
C1,10,media,10,0.08,0.06,0.123,0.094,0.147
C1,10,dificil,10,0.08,0.08,0.181,0.189,0.387
C2,5,todas,30,0.087,0.087,0.093,0.112,0.227
C2,5,facil,10,0.08,0.12,0.112,0.119,0.187
C2,5,media,10,0.08,0.04,0.042,0.054,0.125
C2,5,dificil,10,0.1,0.1,0.124,0.164,0.37
C2,10,todas,30,0.073,0.077,0.158,0.141,0.248
C2,10,facil,10,0.06,0.09,0.17,0.14,0.21
C2,10,media,10,0.08,0.06,0.123,0.094,0.147
C2,10,dificil,10,0.08,0.08,0.181,0.189,0.387
C3,5,todas,30,0.087,0.087,0.093,0.112,0.227
C3,5,facil,10,0.08,0.12,0.112,0.119,0.187
C3,5,media,10,0.08,0.04,0.042,0.054,0.125
C3,5,dificil,10,0.1,0.1,0.124,0.164,0.37
C3,10,todas,30,0.073,0.077,0.158,0.141,0.248
C3,10,facil,10,0.06,0.09,0.17,0.14,0.21
C3,10,media,10,0.08,0.06,0.123,0.094,0.147
C3,10,dificil,10,0.08,0.08,0.181,0.189,0.387
C4,5,todas,30,0.293,0.247,0.273,0.32,0.521
C4,5,facil,10,0.3,0.32,0.332,0.373,0.583
C4,5,media,10,0.36,0.3,0.36,0.422,0.703
C4,5,dificil,10,0.22,0.12,0.126,0.166,0.275
C4,10,todas,30,0.213,0.183,0.387,0.366,0.551
C4,10,facil,10,0.22,0.24,0.49,0.436,0.604
C4,10,media,10,0.25,0.2,0.451,0.459,0.72
C4,10,dificil,10,0.17,0.11,0.22,0.203,0.33
